"","exp","wks","occ","ind","south","smsa","ms","fem","union","ed","blk","lwage","id","t","tdum1","tdum2","tdum3","tdum4","tdum5","tdum6","tdum7","exp2"
"1",3,32,0,0,1,0,1,0,0,9,0,5.56067991256714,1,1,1,0,0,0,0,0,0,9
"2",4,43,0,0,1,0,1,0,0,9,0,5.72031021118164,1,2,0,1,0,0,0,0,0,16
"3",5,40,0,0,1,0,1,0,0,9,0,5.99644994735718,1,3,0,0,1,0,0,0,0,25
"4",6,39,0,0,1,0,1,0,0,9,0,5.99644994735718,1,4,0,0,0,1,0,0,0,36
"5",7,42,0,1,1,0,1,0,0,9,0,6.06146001815796,1,5,0,0,0,0,1,0,0,49
"6",8,35,0,1,1,0,1,0,0,9,0,6.17378997802734,1,6,0,0,0,0,0,1,0,64
"7",9,32,0,1,1,0,1,0,0,9,0,6.24417018890381,1,7,0,0,0,0,0,0,1,81
"8",30,34,1,0,0,0,1,0,0,11,0,6.16331005096436,2,1,1,0,0,0,0,0,0,900
"9",31,27,1,0,0,0,1,0,0,11,0,6.21461009979248,2,2,0,1,0,0,0,0,0,961
"10",32,33,1,1,0,0,1,0,1,11,0,6.26340007781982,2,3,0,0,1,0,0,0,0,1024
"11",33,30,1,1,0,0,1,0,0,11,0,6.54391002655029,2,4,0,0,0,1,0,0,0,1089
"12",34,30,1,1,0,0,1,0,0,11,0,6.69703006744385,2,5,0,0,0,0,1,0,0,1156
"13",35,37,1,1,0,0,1,0,0,11,0,6.79122018814087,2,6,0,0,0,0,0,1,0,1225
"14",36,30,1,1,0,0,1,0,0,11,0,6.81563997268677,2,7,0,0,0,0,0,0,1,1296
"15",6,50,1,1,0,0,1,0,1,12,0,5.65249013900757,3,1,1,0,0,0,0,0,0,36
"16",7,51,1,1,0,0,1,0,1,12,0,6.43615007400513,3,2,0,1,0,0,0,0,0,49
"17",8,50,1,1,0,0,1,0,1,12,0,6.54822015762329,3,3,0,0,1,0,0,0,0,64
"18",9,52,1,1,0,0,1,0,1,12,0,6.60259008407593,3,4,0,0,0,1,0,0,0,81
"19",10,52,1,1,0,0,1,0,1,12,0,6.69579982757568,3,5,0,0,0,0,1,0,0,100
"20",11,52,1,1,0,0,0,0,1,12,0,6.77877998352051,3,6,0,0,0,0,0,1,0,121
"21",12,46,1,1,0,0,0,0,1,12,0,6.86066007614136,3,7,0,0,0,0,0,0,1,144
"22",31,52,1,0,0,1,0,1,0,10,1,6.15698003768921,4,1,1,0,0,0,0,0,0,961
"23",32,46,1,0,0,1,0,1,0,10,1,6.23831987380981,4,2,0,1,0,0,0,0,0,1024
"24",33,46,1,0,0,1,0,1,0,10,1,6.30078983306885,4,3,0,0,1,0,0,0,0,1089
"25",34,49,1,0,0,1,0,1,0,10,1,6.35957002639771,4,4,0,0,0,1,0,0,0,1156
"26",35,44,1,0,0,1,0,1,0,10,1,6.46925020217896,4,5,0,0,0,0,1,0,0,1225
"27",36,52,1,0,0,1,0,1,0,10,1,6.56243991851807,4,6,0,0,0,0,0,1,0,1296
"28",37,46,1,0,0,1,0,1,0,10,1,6.62140989303589,4,7,0,0,0,0,0,0,1,1369
"29",10,50,1,0,0,0,1,0,1,16,0,6.4377498626709,5,1,1,0,0,0,0,0,0,100
"30",11,46,1,0,0,0,1,0,1,16,0,6.62006998062134,5,2,0,1,0,0,0,0,0,121
"31",12,40,1,0,0,0,1,0,1,16,0,6.63331985473633,5,3,0,0,1,0,0,0,0,144
"32",13,50,0,0,0,0,1,0,0,16,0,6.98286008834839,5,4,0,0,0,1,0,0,0,169
"33",14,47,1,0,0,1,1,0,0,16,0,7.04752016067505,5,5,0,0,0,0,1,0,0,196
"34",15,47,0,0,0,0,1,0,0,16,0,7.31322002410889,5,6,0,0,0,0,0,1,0,225
"35",16,49,0,0,0,0,1,0,0,16,0,7.29574012756348,5,7,0,0,0,0,0,0,1,256
"36",26,44,1,1,0,1,1,0,0,12,0,6.90574979782104,6,1,1,0,0,0,0,0,0,676
"37",27,47,1,1,0,1,1,0,0,12,0,6.90574979782104,6,2,0,1,0,0,0,0,0,729
"38",28,47,1,1,0,1,1,0,0,12,0,6.90776014328003,6,3,0,0,1,0,0,0,0,784
"39",29,47,1,1,0,1,1,0,0,12,0,7.00306987762451,6,4,0,0,0,1,0,0,0,841
"40",30,44,1,1,0,1,1,0,0,12,0,7.06901979446411,6,5,0,0,0,0,1,0,0,900
"41",31,45,1,1,0,1,1,0,0,12,0,7.52022981643677,6,6,0,0,0,0,0,1,0,961
"42",32,47,1,1,0,1,1,0,0,12,0,7.33889007568359,6,7,0,0,0,0,0,0,1,1024
"43",15,46,1,0,0,0,1,0,1,12,0,6.13339996337891,7,1,1,0,0,0,0,0,0,225
"44",16,48,1,0,0,0,1,0,1,12,0,6.17378997802734,7,2,0,1,0,0,0,0,0,256
"45",17,49,1,0,0,0,1,0,1,12,0,6.21260976791382,7,3,0,0,1,0,0,0,0,289
"46",18,46,1,0,0,0,1,0,1,12,0,6.31354999542236,7,4,0,0,0,1,0,0,0,324
"47",19,47,1,0,0,0,1,0,1,12,0,6.37502002716064,7,5,0,0,0,0,1,0,0,361
"48",20,47,1,0,0,0,1,0,1,12,0,6.44572019577026,7,6,0,0,0,0,0,1,0,400
"49",21,48,1,0,0,0,1,0,1,12,0,6.52208995819092,7,7,0,0,0,0,0,0,1,441
"50",23,51,1,1,1,0,1,0,1,10,0,6.33150005340576,8,1,1,0,0,0,0,0,0,529
"51",24,50,1,1,1,0,1,0,1,10,0,6.4035701751709,8,2,0,1,0,0,0,0,0,576
"52",25,50,1,1,1,0,1,0,1,10,0,6.54391002655029,8,3,0,0,1,0,0,0,0,625
"53",26,50,1,1,1,0,1,0,1,10,0,6.56243991851807,8,4,0,0,0,1,0,0,0,676
"54",27,44,1,1,0,1,1,0,1,10,0,6.59167003631592,8,5,0,0,0,0,1,0,0,729
"55",28,51,1,1,0,1,1,0,1,10,0,6.81783008575439,8,6,0,0,0,0,0,1,0,784
"56",29,51,1,1,0,1,1,0,1,10,0,6.89163017272949,8,7,0,0,0,0,0,0,1,841
"57",3,50,0,0,1,1,1,0,0,16,0,6.55108022689819,9,1,1,0,0,0,0,0,0,9
"58",4,48,0,0,1,1,1,0,0,16,0,6.55108022689819,9,2,0,1,0,0,0,0,0,16
"59",5,50,0,0,1,1,1,0,0,16,0,6.80239009857178,9,3,0,0,1,0,0,0,0,25
"60",6,48,0,0,1,1,1,0,0,16,0,6.90776014328003,9,4,0,0,0,1,0,0,0,36
"61",7,48,0,0,1,1,1,0,0,16,0,7.09007978439331,9,5,0,0,0,0,1,0,0,49
"62",8,44,0,0,1,1,1,0,0,16,0,7.17011976242065,9,6,0,0,0,0,0,1,0,64
"63",9,48,0,0,1,1,1,0,0,16,0,7.20785999298096,9,7,0,0,0,0,0,0,1,81
"64",3,49,0,0,1,1,1,0,0,16,0,6.39693021774292,10,1,1,0,0,0,0,0,0,9
"65",4,47,0,0,1,1,1,0,0,16,0,6.4377498626709,10,2,0,1,0,0,0,0,0,16
"66",5,46,0,0,1,1,1,0,0,16,0,6.4377498626709,10,3,0,0,1,0,0,0,0,25
"67",6,44,0,0,1,1,1,0,0,16,0,6.4377498626709,10,4,0,0,0,1,0,0,0,36
"68",7,43,0,0,1,1,1,0,0,16,0,6.52208995819092,10,5,0,0,0,0,1,0,0,49
"69",8,34,0,0,1,1,1,0,0,16,0,6.61337995529175,10,6,0,0,0,0,0,1,0,64
"70",9,40,0,0,1,1,1,0,0,16,0,6.73933982849121,10,7,0,0,0,0,0,0,1,81
"71",24,47,1,0,0,1,0,0,1,12,0,6.65801000595093,11,1,1,0,0,0,0,0,0,576
"72",25,48,1,0,0,1,0,0,1,12,0,6.72623014450073,11,2,0,1,0,0,0,0,0,625
"73",26,45,1,0,0,1,0,0,1,12,0,6.80239009857178,11,3,0,0,1,0,0,0,0,676
"74",27,45,1,0,0,1,1,0,1,12,0,6.90776014328003,11,4,0,0,0,1,0,0,0,729
"75",28,47,1,0,0,1,1,0,1,12,0,7.03965997695923,11,5,0,0,0,0,1,0,0,784
"76",29,17,1,0,0,1,1,0,1,12,0,7.12768983840942,11,6,0,0,0,0,0,1,0,841
"77",30,47,1,0,0,1,1,0,1,12,0,7.24422979354858,11,7,0,0,0,0,0,0,1,900
"78",21,47,1,0,1,1,1,0,1,12,0,6.55108022689819,12,1,1,0,0,0,0,0,0,441
"79",22,46,1,0,1,1,1,0,1,12,0,6.62936019897461,12,2,0,1,0,0,0,0,0,484
"80",23,47,1,0,1,1,1,0,1,12,0,6.7226300239563,12,3,0,0,1,0,0,0,0,529
"81",24,47,1,0,1,1,1,0,1,12,0,6.73339986801147,12,4,0,0,0,1,0,0,0,576
"82",25,47,1,0,1,1,1,0,1,12,0,6.7226300239563,12,5,0,0,0,0,1,0,0,625
"83",26,47,1,0,1,1,1,0,1,12,0,6.95176982879639,12,6,0,0,0,0,0,1,0,676
"84",27,46,1,0,1,1,1,0,1,12,0,7.05272006988525,12,7,0,0,0,0,0,0,1,729
"85",26,48,1,0,1,1,1,0,0,12,0,6.90574979782104,13,1,1,0,0,0,0,0,0,676
"86",27,48,1,0,1,1,1,0,0,12,0,6.90073013305664,13,2,0,1,0,0,0,0,0,729
"87",28,50,1,0,1,1,1,0,0,12,0,7.17011976242065,13,3,0,0,1,0,0,0,0,784
"88",29,48,1,0,1,1,1,0,0,12,0,7.26542997360229,13,4,0,0,0,1,0,0,0,841
"89",30,48,1,0,1,1,1,0,0,12,0,7.25911998748779,13,5,0,0,0,0,1,0,0,900
"90",31,46,0,0,1,1,1,0,0,12,0,7.25487995147705,13,6,0,0,0,0,0,1,0,961
"91",32,46,1,0,1,1,1,0,0,12,0,7.40001010894775,13,7,0,0,0,0,0,0,1,1024
"92",15,45,0,0,1,1,1,0,0,17,0,6.80239009857178,14,1,1,0,0,0,0,0,0,225
"93",16,45,0,0,1,1,1,0,0,17,0,6.80239009857178,14,2,0,1,0,0,0,0,0,256
"94",17,45,0,0,1,1,1,0,0,17,0,6.92560005187988,14,3,0,0,1,0,0,0,0,289
"95",18,44,0,0,1,1,1,0,0,17,0,7.00306987762451,14,4,0,0,0,1,0,0,0,324
"96",19,44,0,0,1,1,1,0,0,17,0,7.13089990615845,14,5,0,0,0,0,1,0,0,361
"97",20,44,0,0,1,1,1,0,0,17,0,7.1244797706604,14,6,0,0,0,0,0,1,0,400
"98",21,44,0,0,1,1,1,0,0,17,0,7.12286996841431,14,7,0,0,0,0,0,0,1,441
"99",9,50,0,0,0,0,0,1,0,14,0,5.94016981124878,15,1,1,0,0,0,0,0,0,81
"100",10,46,0,0,0,0,0,1,0,14,0,5.86078977584839,15,2,0,1,0,0,0,0,0,100
"101",11,48,0,0,0,0,0,1,0,14,0,5.99893999099731,15,3,0,0,1,0,0,0,0,121
"102",12,46,0,0,0,0,0,1,0,14,0,6.08449983596802,15,4,0,0,0,1,0,0,0,144
"103",13,48,0,0,0,0,0,1,0,14,0,6.39525985717773,15,5,0,0,0,0,1,0,0,169
"104",14,41,0,0,0,0,0,1,0,14,0,6.47697019577026,15,6,0,0,0,0,0,1,0,196
"105",15,48,0,0,0,0,0,1,0,14,0,6.47697019577026,15,7,0,0,0,0,0,0,1,225
"106",16,50,1,0,1,1,0,1,0,12,1,5.97888994216919,16,1,1,0,0,0,0,0,0,256
"107",17,50,1,0,1,1,0,1,0,12,1,5.78383016586304,16,2,0,1,0,0,0,0,0,289
"108",18,48,1,0,1,1,0,1,0,12,1,5.85793018341064,16,3,0,0,1,0,0,0,0,324
"109",19,48,1,0,1,1,0,1,0,12,1,5.95323991775513,16,4,0,0,0,1,0,0,0,361
"110",20,50,1,0,1,1,0,1,0,12,1,6.14632987976074,16,5,0,0,0,0,1,0,0,400
"111",21,50,1,0,1,1,0,1,0,12,1,6.17586994171143,16,6,0,0,0,0,0,1,0,441
"112",22,49,1,0,1,1,0,1,0,12,1,6.38855981826782,16,7,0,0,0,0,0,0,1,484
"113",16,49,0,1,0,0,1,0,0,14,0,6.62006998062134,17,1,1,0,0,0,0,0,0,256
"114",17,48,0,1,0,0,1,0,0,14,0,6.4922399520874,17,2,0,1,0,0,0,0,0,289
"115",18,49,0,1,0,0,1,0,0,14,0,6.77992010116577,17,3,0,0,1,0,0,0,0,324
